LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-28,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,F8:4D:89:79:73:9A,-27,,0.000000,0.000000,0.000,0.000,Client
2023-08-23 19:13:23,1900-01-00 00:00:00,,18:CF:24:6E:0F:78,-54, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:23,1900-01-00 00:00:00,DIGI-F2Nz,18:CF:24:6E:0F:78,-57, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:23,1900-01-00 00:00:00,DIGI-F2Nz,18:CF:24:6E:0F:78,-57, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-23 19:13:23,1900-01-00 00:00:00,DIGI-F2Nz,18:CF:24:6E:0F:78,-57, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
